ID,Country/Region of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
62,Taiwan,??????8?????????,A11-Northern Taiwan Specialty Coffee Evaluation,??????8?????????,,Taiwu Coffee Cooperative,200-300,?????????,?????????,1,16 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0,84.58,9.6,0,0,greenish,0,"January 6th, 2024"
63,Taiwan,????????????(Dachu Coffee Estate),2022?????????????????????????????????,????????????(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700,"( Dongshan Dist., Tainan City)","????????????KUO,YA-TSUNG???",16,5 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"June 8th, 2022","KUO, YA-TSUNG",Gesha,Completed,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,0,84.58,11.5,0,0,green,0,"June 8th, 2023"
64,Nicaragua,Finca Las Dos Marias,10 1.1,"Compare Coperativo Condega, Esteli, Nicaragua",,NicaNoLA Coffee,1350,ESTELI,NicaNoLA Coffee,74,45 kg,Specialty Coffee Association,2021 / 2022,"June 9th, 2022",rene j alcebo,Catrenic,Completed,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,0,84.58,9.9,1,0,green,2,"June 9th, 2023"
65,Taiwan,?????????????????????,"The 2022 Pacific Rim Coffee Summit,T036",?????????????????????,,Taiwan Coffee Laboratory,1250,Chiayi,????€????,1,80 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Pu Han Wen,Gesha,Completed,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,0,84.58,11.2,0,0,green,2,"November 15th, 2023"
66,Taiwan,?????????,"The 2022 Pacific Rim Coffee Summit,T042",?????????,,Taiwan Coffee Laboratory,1450,Chiayi,?????????,1,104 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,SL34,Completed,Natural / Dry,7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,0,84.58,10.3,0,0,green,0,"November 15th, 2023"
67,Vietnam,CupnCare,"The 2022 Pacific Rim Coffee Summit,VN02",CupnCare,,Taiwan Coffee Laboratory,650,Quang Tri,TONG PHUC LAM TRADING SERVICES COMPANY LIMITED,3,5 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Catimor,Completed,Natural / Dry,8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,0,84.58,11.6,0,0,brownish,0,"November 15th, 2023"
68,Costa Rica,La Cumbre,CQU2022018,La Montana Tarrazu MIll,,Coffee Quality Union,1900,"Los Santos,Tarrazu",Santa Maria de Dota,1,22 kg,Japan Coffee Exchange,2022,"October 4th, 2022",Coffee Quality Union,Gesha,Completed,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10,10,10,7.92,0,84.5,11.7,0,1,green,0,"October 4th, 2023"
69,Taiwan,???55????????????,A37-Northern Taiwan Specialty Coffee Evaluation,???55????????????,,Taiwu Coffee Cooperative,520,?????????,????????€,1,300 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10,10,10,7.75,0,84.5,11.3,0,0,bluish-green,0,"January 6th, 2024"
70,Honduras,La Cuchilla,36,Global Coffee,13-111-027,Mercon Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,340,69 kg,Instituto Hondure??o del Caf??,2022 / 2023,"April 25th, 2023",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84.5,9.8,0,0,green,3,"April 24th, 2024"
71,Ethiopia,TRACON TRADING PLC,0712,5.2Ha,010/0148/0712,Tracon Trading PLC,1943,Ethiopia,TRACON TRADING PLC,584,30 kg,Blossom Valley International????????????,2021 / 2022,"August 23rd, 2022",????????? LI XIAO FEI,Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,0,84.5,10.9,0,0,green,9,"August 23rd, 2023"
72,Taiwan,917?????? (917 Farm),2021/11,917?????? (917 Farm),,Taiwan Coffee Laboratory,400,?????????Yuli Township,????€???? Huang Yi-xuan,1,20 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"December 12th, 2022",????€????,Typica,Completed,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10,10,10,7.83,0,84.5,10.2,0,0,green,0,"December 12th, 2023"
73,Taiwan,??????????????????,"The 2022 Pacific Rim Coffee Summit,T031",??????????????????,,Taiwan Coffee Laboratory,850,Yunlin,?????????,1,100 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Washed / Wet,7.83,8,7.5,7.75,7.75,7.75,10,10,10,7.83,0,84.42,10.1,0,0,bluish-green,1,"November 15th, 2023"
74,Guatemala,Finca Alta Luz,11-63-657,,11-63-657,"Retrillas del pacifico, s.a.",1300-1400,Huehuetenango,Maria de los Angeles Perez,600,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"April 26th, 2023",Yesica Alejandra Mart??nez V??squez,Bourbon,Completed,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,0,84.33,9.2,0,1,green,5,"April 25th, 2024"
75,United States (Hawaii),Miranda's Farm,Islander?€?s Coffee for Pacific Rim Summit,Greenwell,,Taiwan Coffee Laboratory,1300,Ka'u district of Big Island,Jose & Berta Miranda,10,10 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"November 9th, 2022",Taiwan Coffee Laboratory ?????????????????????,Catuai,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10,10,10,7.75,0,84.33,10.1,3,0,yellow-green,7,"November 9th, 2023"
76,Ethiopia,Bisrat Melaku Washing Station,0065,Washing Station,010/ 0218/0065,Tadesse Desta import export,2361,Addis Ababa,Bisrat Melaku,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"September 19th, 2022",Tadesse Desta,Ethiopian Heirlooms,Completed,Natural / Dry,7.83,7.75,7.58,7.92,8,7.5,10,10,10,7.75,0,84.33,11,0,5,yellow green,4,"September 19th, 2023"
77,El Salvador,San Nicolas,"The 2022 Pacific Rim Coffee Summit,SV01",San Nicolas,,Taiwan Coffee Laboratory,1500,Chalatenango,various producers,20,30 kg,Taiwan Coffee Laboratory ?????????????????????,2021,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Pacamara,Completed,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10,10,10,7.67,0,84.33,10.3,0,0,brownish,4,"November 15th, 2023"
78,Colombia,Asociacion Tayronaca,NPCO-17418,Trilladora Santa Tirsa,,Sucafina NA,2100,Sierra Nevada de Santa Marta,Grupo Tap,275,70 kg,ASOCIACI??N COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,"May 11th, 2022",Sucafina Colombia SAS,Castillo and Colombia blend,Completed,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10,10,10,7.83,0,84.33,11.6,0,0,green,1,"May 11th, 2023"
79,Indonesia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",CQU2022018,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",,Coffee Quality Union,1250-1350,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara","Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,"Jember,TIM-TIM,Ateng",Completed,Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10,10,10,7.83,0,84.25,11.5,0,1,blue-green,1,"September 21st, 2023"
80,Guatemala,San jose del lago,11/15/1996,San jose del lago,11/15/1996,"Peter Schoenfeld, S.A.",1600,Atitl??n,"Cafetalera Paquim, S.A.",55,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"April 17th, 2023",Yesica Alejandra Mart??nez V??squez,Typica,Completed,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,0,84.25,10,0,0,green,1,"April 16th, 2024"
81,Madagascar,Mandroso,1,On the farm (mechanical huller and polisher / sorting by hand),,Vao Vao Sarl,1500,Itasy,Marc Dumont,5,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercaf?? AG),2022,"December 12th, 2022",Marc Dumont,Bourbon,Completed,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,0,84.25,12.1,0,0,blue-green,0,"December 12th, 2023"
82,Honduras,La Cuchilla,8,Global Coffee,13-111-030,Mercon Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,345,30 kg,Instituto Hondure??o del Caf??,2022 / 2023,"April 25th, 2023",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,0,84.17,10.2,0,0,green,2,"April 24th, 2024"
83,Guatemala,san francisco cotzal,11/441/49,"inmobiliaria e inversiones dos mil, s.a.",11/441/49,"inmobiliaria e inversiones dos mil, s.a.",1600,quiche,san francisco cotzal,275,69 kg,Asociacion Nacional Del Caf??,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10,10,10,7.75,0,84.08,11,0,3,green,2,"May 19th, 2023"
84,Taiwan,???????????????,A32-Northern Taiwan Specialty Coffee Evaluation,???????????????,,Taiwu Coffee Cooperative,150,?????????,?????????,1,110 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10,10,10,7.67,0,84.08,10.8,0,0,greenish,2,"January 6th, 2024"
85,Taiwan,??????????????????,"The 2022 Pacific Rim Coffee Summit,T017",??????????????????,,Taiwan Coffee Laboratory,800,Yunlin,?????????,1,80 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,0,84.08,10.6,0,0,yello-green,0,"November 15th, 2023"
86,Guatemala,varias fincas,11/15/1951,El Tr??bol/L??nea Gourmet,11/15/1951,"Peter Schoenfeld, S.A.",1500-1600,Oriente Santa rosa,varios productores,430,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"March 22nd, 2023",Yesica Alejandra Mart??nez V??squez,Caturra,Completed,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,84.08,11,0,1,green,2,"March 21st, 2024"
87,Guatemala,varias fincas,11/15/1959,El Trebol/Linea Gourmet,11/15/1959,"Peter Schoenfeld, S.A.",1500-1600,Sierra de las minas,varios productores,200,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"March 22nd, 2023",Yesica Alejandra Mart??nez V??squez,Caturra,Completed,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,84,11,0,2,green,2,"March 21st, 2024"
88,Honduras,finca de la casa,"The 2022 Pacific Rim Coffee Summit,HN04",De la casa,,Taiwan Coffee Laboratory,1800,"San Andr??s, Lempira",Irma Consuelo Bonilla Hernandez,16,30 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022","Kao,SIng-jay",Typica,Completed,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,0,84,9.4,0,0,green,0,"November 15th, 2023"
89,"Tanzania, United Republic Of",KONGONI ESTATE,CN 4127230031/P-9139,RAFIKI MILL,033/DE/491/001,C.DORMAN SEZ LTD,1600-1750,ARUSHA,DORMAN (T) LTD,200,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84,9.8,0,0,greenish,3,"January 3rd, 2024"
90,Ethiopia,Ecom Agroindustrial,1077,Beneficio humedo,010-0424-0586,Descafeinadores Mexicano SA. de CV,1800,Sidama,Ecom Agroindustrial,300,60 kg,Centro Agroecol??gico del Caf?? A.C.,2021 / 2022,"November 18th, 2022",Descafeinadores Mexicanos S.A de C.V,Ethiopian Heirlooms,Completed,Washed / Wet,8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,0,84,11.3,1,1,green,1,"November 18th, 2023"
91,"Tanzania, United Republic Of",MASHIMA AMCOS,CN 4127220159/4189220459,GOURMET COFFEE MILL,033/0010/022,DORMAN (T) LTD,1400-1700,KILIMANJARO,DORMAN,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"November 21st, 2022",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,84,11.6,0,0,greenish,2,"November 21st, 2023"
92,Colombia,COO,3-002-00883,Laumayer Armenia,,InterAmerican Coffee,1400-1700,Huila,Cooperativa Central de Caficultores del Huila,275,70 kg,NKG Quality Service (a division of Bernhard Rothfos Intercaf?? AG),2022,"July 27th, 2022",Charles Umeano,Caturra,Completed,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,84,13.3,0,2,green,3,"July 27th, 2023"
93,Costa Rica,Gamboa Farm,12077-01,Beneficio Monta??as del Diamante,5-0025-0132,CECA S.A.,1850,Tarrazu,Martin Gutierrez,250,35 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,83.92,9.5,0,0,green,2,"April 18th, 2024"
94,Guatemala,El Morito,"The 2022 Pacific Rim Coffee Summit,GT01",Sube,,Taiwan Coffee Laboratory,1900,New Oriente,Various producers,1,15 kg,Taiwan Coffee Laboratory ?????????????????????,2021,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Gesha,Completed,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,0,83.92,11.9,0,0,greenish,0,"November 15th, 2023"
95,Guatemala,San jose del lago,11/15/1995,San jose del lago,11/15/1995,"Peter Schoenfeld, S.A.",1600,Atitl??n,"Cafetalera Paquim, S.A.",35,30 kg,Asociacion Nacional Del Caf??,2022 / 2023,"April 17th, 2023",Yesica Alejandra Mart??nez V??squez,Bourbon,Completed,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,83.92,10,0,1,green,2,"April 16th, 2024"
96,Thailand,Baan San Charoen,CQU2022016,Baan San Charoen,,Coffee Quality Union,1300-1400,Nan,Phaibul Kitcharoen,1,30 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,Catimor,Completed,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,0,83.92,11.6,0,0,yellowish,3,"September 21st, 2023"
97,Colombia,,3/37/1370,"Racaf?? & CIA S.C.A, Km 5 V??a Pereira",3/37/1370,Marubeni Corporation,1411,Pereira,RACAFE & CIA SCA,375,70 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023",Ikuto Uehara,,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,83.83,11.9,0,1,green,1,"April 16th, 2024"
98,Guatemala,FINCA ALTA LUZ,11/63/908,,11/63/908,"RETRILLAS DEL PACIFICO, S. A.",1400,HUEHUETENANGO,MARIA DE LOS ANGELES PEREZ,600,30 kg,Asociacion Nacional Del Caf??,2021 / 2022,"May 13th, 2022",Angelica Paola Citan Lopez,"BOURBON, CATURRA Y CATIMOR",Completed,Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10,10,10,7.75,0,83.83,10.8,0,0,green,4,"May 13th, 2023"
99,Guatemala,SAN RAFAEL URIAS VALDES,AMNI-22-0905,"BENEFICIO SANTA RITA, S. A.",11/54876/01,Asociaci??n Nacional del Cafe,4895 A 5650,ANTIGUA GUATEMALA,"VALBROS, S. A.",635,30 kg,Asociacion Nacional Del Caf??,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Bourbon,Completed,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10,10,10,7.75,0,83.83,10.9,0,1,greenish,4,"May 19th, 2023"
100,Ethiopia,Gerbicho Lela Cooperative,1,Sidama Coffee Farmers Cooperative Union,010/0145/0064,Taylor Winch Coffee Ltd,2000,Sidama,Sidama Coffee Farmers Cooperative Union,100,60 kg,Kenya Coffee Traders Association,2021 / 2022,"September 9th, 2022",Taylor Winch (Coffee) Ltd.,Ethiopian Heirlooms,Completed,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,83.83,12,0,0,green,12,"September 9th, 2023"
101,Colombia,N / A,3-0068-00886,Trilladora Popay??n,3-0068-00886,ECOM COLOMBIA,1700,Cauca,Regional producers,285,70 kg,ASOCIACI??N COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,"February 22nd, 2023",Ra??l Vargas,Caturra,Completed,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,0,83.83,12.1,2,5,green,5,"February 22nd, 2024"
102,United States (Hawaii),various farms,"The 2022 Pacific Rim Coffee Summit,US02",Aloha Hills Kona Coffee,,Taiwan Coffee Laboratory,400-600,Ka'u,Isla Custom Coffees,4,15 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Typica,Completed,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,83.83,11.8,0,3,green,3,"November 15th, 2023"
103,Colombia,La Gallera,"The 2022 Pacific Rim Coffee Summit,CO02",La Gallera,,Taiwan Coffee Laboratory,1800,Tolima,Oscar Javier Paez & Family,40,35 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"November 15th, 2022",PeiHsun Lin,Bourbon Sidra,Completed,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,83.75,10.6,0,0,greenish,1,"November 15th, 2023"
104,Mexico,Finca Custepec,312,exportadora de cafe california,016-2028-0312,Exportadora Caf?? California,1200,Chiapas,Armando Pohlenz,600,30 kg,Centro Agroecol??gico del Caf?? A.C.,2022 / 2023,"April 5th, 2023",ANDREAS KUSSMAUL,Sarchimor,Completed,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,0,83.75,11.7,4,0,green,12,"April 4th, 2024"
105,Colombia,,,,,Coffee Quality Institute,,,,1,1 kg,Barista and Coffee Academy of Asia,2022,"September 26th, 2022",Coffee Quality Institute,,Completed,,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,0,83.67,12.4,1,0,greenish,9,"September 26th, 2023"
106,Taiwan,??????????????????,202203,yes,non,Yongshun,1250,"Caoling , Gukeng Township, Yunlin County",?????????,50,2 kg,Blossom Valley International????????????,2022,"October 24th, 2022",Yongshun,SL34,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,83.67,10,0,0,bluish-green,0,"October 24th, 2023"
107,Myanmar,Aromatic,"The 2022 Pacific Rim Coffee Summit,MM01",Aromatic,,Taiwan Coffee Laboratory,1400,South Shan State,Lim,100,30 kg,Taiwan Coffee Laboratory ?????????????????????,2022,"November 15th, 2022",PeiHsun Lin,"Catimor,Catuai,Caturra,Bourbon",Completed,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,83.67,10.2,0,1,pale yellow,1,"November 15th, 2023"
108,Taiwan,????????????,A05-Northern Taiwan Specialty Coffee Evaluation,????????????,,Taiwu Coffee Cooperative,200-400,?????????,?????????,1,13 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,83.67,9.2,0,0,greenish,0,"January 6th, 2024"
109,Honduras,Maria Bonita,"The 2022 Pacific Rim Coffee Summit,HN01","Cafe Organic Marcala, S.A. (COMSA)",,Taiwan Coffee Laboratory,1470,"San Jose, La Paz",Pedro Turcios,9,15 kg,Taiwan Coffee Laboratory ?????????????????????,2021,"November 15th, 2022",Taiwan Coffee Laboratory ?????????????????????,Parainema,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,83.67,11.1,0,2,pale yellow,1,"November 15th, 2023"
110,Taiwan,????????????,A30-Northern Taiwan Specialty Coffee Evaluation,????????????,,Taiwu Coffee Cooperative,250-400,?????????,?????????,1,10 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,83.58,8.4,0,0,green,0,"January 6th, 2024"
111,Taiwan,"?????????	???????????????	???????????????",A14-Northern Taiwan Specialty Coffee Evaluation,"?????????	???????????????	???????????????",,Taiwu Coffee Cooperative,250-300,?????????,?????????,1,10 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,83.58,9.1,0,0,green,0,"January 6th, 2024"
112,Guatemala,SAN FRANCISCO COTZAL,P-4142,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",11/441/50,Asociaci??n Nacional del Cafe,1600,QUICHE,SAN FRANCISCO COTZAL,275,69 kg,Asociacion Nacional Del Caf??,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,0,83.58,10.9,0,2,green,4,"May 19th, 2023"
113,Honduras,varias,AMNI-22-6011-1,Beneficio seco,13-167-471,Cafe Organico Marcala S.A de C.V.,1400,Marcala,comsa,260,69 kg,Instituto Hondure??o del Caf??,2021 / 2022,"August 17th, 2022",Eliud Hernandez Gonzales,SHG,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,83.5,11.2,0,1,green,5,"August 17th, 2023"
114,Colombia,La fortaleza,3-0104-00202 Popay??n Supremo,Trilladora Pubenza,3-0104-00202,Cafe Colsuaves,1700,Popay??n Cauca,La fortaleza,600,30 kg,ASOCIACI??N COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022,"January 18th, 2023",pablo velosa,Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,83.5,12.2,0,0,bluish-green,2,"January 18th, 2024"
115,Thailand,Doi Tung Development Project,BOURBON 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1200 - 1580,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Doi Tung Development Project,Bourbon,Completed,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,83.5,13.1,0,0,green,0,"July 14th, 2023"
116,Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,,yhaenu plc,1700,OROMIA,YHAENU PLC,320,19200 kg,METAD Agricultural Development plc,2021 / 2022,"November 30th, 2022",YHAENU PLC,Ethiopian Heirlooms,Completed,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,83.5,10.4,0,1,greenish,11,"November 30th, 2023"
117,Thailand,Doi Nan,CQU2022011,Doi Nan,,Coffee Quality Union,1450,Suan Ya Lung,Chalerm,5,2 kg,Japan Coffee Exchange,2022,"June 16th, 2022",Coffee Quality Union,Java,Completed,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,83.42,11.6,0,2,green,0,"June 16th, 2023"
118,Uganda,Bugisu Shamba,035/170/5021210,Kawacom,,Kawacom uganda LTD,1400 - 1900,Mt Elgon,Kawacom Uganda Ltd,150,60 kg,Uganda Coffee Development Authority,2021 / 2022,"July 7th, 2022",Kawacom Uganda LTD,SL14,Completed,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,83.42,10.1,0,0,green,3,"July 7th, 2023"
119,Taiwan,????????????????????????,"The 2022 Pacific Rim Coffee Summit,T022",????????????????????????,,Taiwan Coffee Laboratory,1100,Chiayi,????????€,1,40 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"November 15th, 2022",Wu Jhao Yun,Typica + SL34,Completed,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,0,83.42,10.1,0,0,blue-green,0,"November 15th, 2023"
120,Uganda,Masereka William,7969,Dry Mill,Nov-35,Kyagalanyi Coffee Limited,1905,Rwenzori,Kyagalanyi coffee limited,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,"September 1st, 2022",KYAGALANYI COFFEE LIMITED,SL14,Completed,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10,10,10,7.67,0,83.33,11.1,0,0,green,5,"September 1st, 2023"
121,Taiwan,????????????,A04-Northern Taiwan Specialty Coffee Evaluation,????????????,,Taiwu Coffee Cooperative,200-300,?????????,?????????,1,8 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10,10,10,7.75,0,83.33,9.7,0,0,greenish,0,"January 6th, 2024"
122,Guatemala,MI CAFECITO & LA PROVIDENCIA,1,MI CAFECITO + AGUA SANTA LA PROVIDENCIA + AGUA SANTA,,Mr.Brown Cafe,1280-1325,NEW ORIENTE & HUEHUETENANGO,500 PRODUCERS,320,60 kg,Taiwan Coffee Laboratory ?????????????????????,2021,"December 30th, 2022",MR.BROWN CAFE,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Completed,Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10,10,10,7.5,0,83.33,11.4,0,0,green,0,"December 30th, 2023"
123,Taiwan,????????????,A21-Northern Taiwan Specialty Coffee Evaluation,????????????,,Taiwu Coffee Cooperative,300,?????????,????€????,1,80 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,0,83.33,9.6,0,0,green,1,"January 6th, 2024"
124,Colombia,El Laurel,1,Hulling facility,,Minka coffee company LTD,1100,Sierra Nevada de Santa Marta,Eric SELLIN,2,1 kg,FABB Academy of Coffee,2021 / 2022,"September 30th, 2022",piradaPKPL,Caturra,Completed,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,0,83.33,13.5,0,0,greenish,0,"September 30th, 2023"
